bkg,Sup_normal,Sup_TMath
0.000010,2.300000,2.310000
0.001010,2.300000,2.310000
0.002010,2.310000,2.310000
0.003010,2.310000,2.310000
0.004010,2.310000,2.310000
0.005010,2.310000,2.320000
0.006010,2.310000,2.320000
0.007010,2.320000,2.320000
0.008010,2.320000,2.320000
0.009010,2.320000,2.320000
0.010010,2.320000,2.320000
0.011010,2.320000,2.330000
0.012010,2.330000,2.330000
0.013010,2.330000,2.330000
0.014010,2.330000,2.330000
0.015010,2.330000,2.330000
0.016010,2.330000,2.330000
0.017010,2.340000,2.340000
0.018010,2.340000,2.340000
0.019010,2.340000,2.340000
0.020010,2.340000,2.340000
0.021010,2.340000,2.340000
0.022010,2.340000,2.340000
0.023010,2.340000,2.350000
0.024010,2.350000,2.350000
0.025010,2.350000,2.350000
0.026010,2.350000,2.350000
0.027010,2.350000,2.350000
0.028010,2.350000,2.350000
0.029010,2.350000,2.350000
0.030010,2.360000,2.360000
0.031010,2.360000,2.360000
0.032010,2.360000,2.360000
0.033010,2.360000,2.360000
0.034010,2.360000,2.360000
0.035010,2.360000,2.360000
0.036010,2.370000,2.370000
0.037010,2.370000,2.370000
0.038010,2.370000,2.370000
0.039010,2.370000,2.370000
0.040010,2.370000,2.370000
0.041010,2.370000,2.370000
0.042010,2.370000,2.370000
0.043010,2.380000,2.380000
0.044010,2.380000,2.380000
0.045010,2.380000,2.380000
0.046010,2.380000,2.380000
0.047010,2.380000,2.380000
0.048010,2.380000,2.380000
0.049010,2.380000,2.380000
0.050010,2.390000,2.390000
0.051010,2.390000,2.390000
0.052010,2.390000,2.390000
0.053010,2.390000,2.390000
0.054010,2.390000,2.390000
0.055010,2.390000,2.390000
0.056010,2.400000,2.400000
0.057010,2.400000,2.400000
0.058010,2.400000,2.400000
0.059010,2.400000,2.400000
0.060010,2.400000,2.400000
0.061010,2.400000,2.400000
0.062010,2.400000,2.400000
0.063010,2.410000,2.410000
0.064010,2.410000,2.410000
0.065010,2.410000,2.410000
0.066010,2.410000,2.410000
0.067010,2.410000,2.410000
0.068010,2.410000,2.410000
0.069010,2.410000,2.410000
0.070010,2.420000,2.420000
0.071010,2.420000,2.420000
0.072010,2.420000,2.420000
0.073010,2.420000,2.420000
0.074010,2.420000,2.420000
0.075010,2.420000,2.420000
0.076010,2.420000,2.420000
0.077010,2.420000,2.420000
0.078010,2.430000,2.430000
0.079010,2.430000,2.430000
0.080010,2.430000,2.430000
0.081010,2.430000,2.430000
0.082010,2.430000,2.430000
0.083010,2.430000,2.430000
0.084010,2.430000,2.430000
0.085010,2.440000,2.440000
0.086010,2.440000,2.440000
0.087010,2.440000,2.440000
0.088010,2.440000,2.440000
0.089010,2.440000,2.440000
0.090010,2.440000,2.440000
0.091010,2.440000,2.440000
0.092010,2.450000,2.450000
0.093010,2.450000,2.450000
0.094010,2.450000,2.450000
0.095010,2.450000,2.450000
0.096010,2.450000,2.450000
0.097010,2.450000,2.450000
0.098010,2.450000,2.450000
0.099010,2.450000,2.450000
0.100010,2.460000,2.460000
0.101010,2.460000,2.460000
0.102010,2.460000,2.460000
0.103010,2.460000,2.460000
0.104010,2.460000,2.460000
0.105010,2.460000,2.460000
0.106010,2.460000,2.460000
0.107010,2.470000,2.470000
0.108010,2.470000,2.470000
0.109010,2.470000,2.470000
0.110010,2.470000,2.470000
0.111010,2.470000,2.470000
0.112010,2.470000,2.470000
0.113010,2.470000,2.470000
0.114010,2.470000,2.470000
0.115010,2.480000,2.480000
0.116010,2.480000,2.480000
0.117010,2.480000,2.480000
0.118010,2.480000,2.480000
0.119010,2.480000,2.480000
0.120010,2.480000,2.480000
0.121010,2.480000,2.480000
0.122010,2.480000,2.480000
0.123010,2.490000,2.490000
0.124010,2.490000,2.490000
0.125010,2.490000,2.490000
0.126010,2.490000,2.490000
0.127010,2.490000,2.490000
0.128010,2.490000,2.490000
0.129010,2.490000,2.490000
0.130010,2.500000,2.500000
0.131010,2.500000,2.500000
0.132010,2.500000,2.500000
0.133010,2.500000,2.500000
