WFRMS,H_rate
-5.00, 0.01189
-4.95, 0.01189
-4.90, 0.01189
-4.85, 0.01189
-4.80, 0.01189
-4.75, 0.01189
-4.70, 0.01189
-4.65, 0.01189
-4.60, 0.01189
-4.55, 0.01189
-4.50, 0.01189
-4.45, 0.01189
-4.40, 0.01189
-4.35, 0.01189
-4.30, 0.01189
-4.25, 0.01189
-4.20, 0.01189
-4.15, 0.01189
-4.10, 0.01189
-4.05, 0.01189
-4.00, 0.01189
-3.95, 0.01189
-3.90, 0.01189
-3.85, 0.01189
-3.80, 0.01189
-3.75, 0.01189
-3.70, 0.01189
-3.65, 0.01189
-3.60, 0.01189
-3.55, 0.01189
-3.50, 0.01189
-3.45, 0.01189
-3.40, 0.01189
-3.35, 0.01189
-3.30, 0.01784
-3.25, 0.01784
-3.20, 0.04758
-3.15, 0.04758
-3.10, 0.05352
-3.05, 0.05947
-3.00, 0.05947
-2.95, 0.05947
-2.90, 0.10110
-2.85, 0.10110
-2.80, 0.10705
-2.75, 0.10705
-2.70, 0.16057
-2.65, 0.20815
-2.60, 0.30925
-2.55, 0.37467
-2.50, 0.43414
-2.45, 0.45792
-2.40, 0.52927
-2.35, 0.58280
-2.30, 0.67200
-2.25, 0.74930
-2.20, 0.84444
-2.15, 0.96338
-2.10, 1.08825
-2.05, 1.20718
-2.00, 1.43908
-1.95, 1.65910
-1.90, 2.02185
-1.85, 2.36673
-1.80, 2.69972
-1.75, 3.26460
-1.70, 4.06724
-1.65, 5.11377
-1.60, 6.75481
-1.55, 7.64072
-1.50, 8.20554
-1.45, 8.53253
-1.40, 8.83575
-1.35, 9.02602
-1.30, 9.25792
-1.25, 9.44820
-1.20, 9.61470
-1.15, 9.79309
-1.10, 9.91200
-1.05, 10.05471
-1.00, 10.16175
-0.95, 10.31040
-0.90, 10.49476
-0.85, 10.60178
-0.80, 10.63745
-0.75, 10.64935
-0.70, 10.64935
-0.65, 10.64935
-0.60, 10.65529
-0.55, 10.65529
-0.50, 10.65529
-0.45, 10.66124
-0.40, 10.67314
-0.35, 10.67909
-0.30, 10.68503
-0.25, 10.70287
-0.20, 10.70287
-0.15, 10.70287
-0.10, 10.72070
-0.05, 10.72665
0.00, 10.73854
0.05, 10.74449
0.10, 10.74449
0.15, 10.74449
0.20, 10.74449
0.25, 10.74449
0.30, 10.74449
0.35, 10.75044
0.40, 10.75044
0.45, 10.75044
0.50, 10.75044
0.55, 10.75044
0.60, 10.75044
0.65, 10.75044
0.70, 10.75044
0.75, 10.75044
0.80, 10.75044
0.85, 10.75044
0.90, 10.75044
0.95, 10.75044
1.00, 10.75044
1.05, 10.75044
1.10, 10.75044
1.15, 10.75044
1.20, 10.75044
1.25, 10.75044
1.30, 10.75044
1.35, 10.75044
1.40, 10.75044
1.45, 10.75044
1.50, 10.75044
1.55, 10.75044
1.60, 10.75044
1.65, 10.75044
1.70, 10.75044
1.75, 10.75044
1.80, 10.75044
1.85, 10.75044
1.90, 10.75044
1.95, 10.75044
2.00, 10.75044
2.05, 10.75044
2.10, 10.75044
2.15, 10.75044
2.20, 10.75044
2.25, 10.75044
2.30, 10.75044
2.35, 10.75044
2.40, 10.75044
2.45, 10.75044
2.50, 10.75044
2.55, 10.75044
2.60, 10.75044
2.65, 10.75044
2.70, 10.75044
2.75, 10.75044
2.80, 10.75044
2.85, 10.75044
2.90, 10.75044
2.95, 10.75044
3.00, 10.75044
3.05, 100.01501
3.10, 100.01501
3.15, 100.01501
3.20, 100.01501
3.25, 100.01501
3.30, 100.01501
3.35, 100.01501
3.40, 100.01501
3.45, 100.01501
3.50, 100.01501
3.55, 100.01501
3.60, 100.01501
3.65, 100.01501
3.70, 100.01501
3.75, 100.01501
3.80, 100.01501
3.85, 100.01501
3.90, 100.01501
3.95, 100.01501
4.00, 100.01501
4.05, 100.01501
4.10, 100.01501
4.15, 100.01501
4.20, 100.01501
4.25, 100.01501
4.30, 100.01501
4.35, 100.01501
4.40, 100.01501
4.45, 100.01501
4.50, 100.01501
4.55, 100.01501
4.60, 100.01501
4.65, 100.01501
4.70, 100.01501
4.75, 100.01501
4.80, 100.01501
4.85, 100.01501
4.90, 100.01501
4.95, 100.01501
