WFRMS,V_rate
-5.00, 0.01784
-4.95, 0.01784
-4.90, 0.01784
-4.85, 0.01784
-4.80, 0.01784
-4.75, 0.01784
-4.70, 0.02379
-4.65, 0.02379
-4.60, 0.02379
-4.55, 0.02379
-4.50, 0.02379
-4.45, 0.02379
-4.40, 0.02379
-4.35, 0.02379
-4.30, 0.02974
-4.25, 0.02974
-4.20, 0.02974
-4.15, 0.02974
-4.10, 0.03569
-4.05, 0.04758
-4.00, 0.04758
-3.95, 0.05352
-3.90, 0.05352
-3.85, 0.06542
-3.80, 0.08920
-3.75, 0.10109
-3.70, 0.11299
-3.65, 0.13677
-3.60, 0.13677
-3.55, 0.14272
-3.50, 0.18435
-3.45, 0.20814
-3.40, 0.24381
-3.35, 0.32110
-3.30, 0.38650
-3.25, 0.45192
-3.20, 0.62439
-3.15, 0.74332
-3.10, 0.96927
-3.05, 1.11791
-3.00, 1.27842
-2.95, 1.46869
-2.90, 1.77195
-2.85, 2.06329
-2.80, 2.37246
-2.75, 2.87193
-2.70, 3.44275
-2.65, 4.06710
-2.60, 4.84617
-2.55, 5.88673
-2.50, 6.93921
-2.45, 8.11059
-2.40, 9.54953
-2.35, 11.33330
-2.30, 13.53923
-2.25, 15.72140
-2.20, 18.44437
-2.15, 21.55390
-2.10, 25.02022
-2.05, 29.28339
-2.00, 34.02196
-1.95, 39.37854
-1.90, 45.12748
-1.85, 51.43512
-1.80, 57.83773
-1.75, 65.77453
-1.70, 72.31429
-1.65, 79.11027
-1.60, 84.09837
-1.55, 87.61818
-1.50, 89.34832
-1.45, 90.65045
-1.40, 91.53636
-1.35, 92.26176
-1.30, 92.56505
-1.25, 92.90395
-1.20, 93.10613
-1.15, 93.30237
-1.10, 93.43916
-1.05, 93.55216
-1.00, 93.72458
-0.95, 93.88507
-0.90, 94.05156
-0.85, 94.14077
-0.80, 94.18239
-0.75, 94.22996
-0.70, 94.23591
-0.65, 94.27156
-0.60, 94.28344
-0.55, 94.28344
-0.50, 94.28344
-0.45, 94.28939
-0.40, 94.30127
-0.35, 94.32505
-0.30, 94.32505
-0.25, 94.33100
-0.20, 94.33695
-0.15, 94.36073
-0.10, 94.36073
-0.05, 94.36668
0.00, 94.37857
0.05, 94.39641
0.10, 94.42613
0.15, 94.44992
0.20, 94.45587
0.25, 94.47371
0.30, 94.47371
0.35, 94.47966
0.40, 94.48561
0.45, 94.49156
0.50, 94.49156
0.55, 94.49156
0.60, 94.49156
0.65, 94.49156
0.70, 94.49156
0.75, 94.49156
0.80, 94.49156
0.85, 94.49156
0.90, 94.49156
0.95, 94.49156
1.00, 94.49156
1.05, 94.49156
1.10, 94.49156
1.15, 94.49156
1.20, 94.49156
1.25, 94.49156
1.30, 94.49156
1.35, 94.49156
1.40, 94.49156
1.45, 94.49156
1.50, 94.49156
1.55, 94.49156
1.60, 94.49156
1.65, 94.49156
1.70, 94.49156
1.75, 94.49156
1.80, 94.49156
1.85, 94.49156
1.90, 94.49156
1.95, 94.49156
2.00, 94.49156
2.05, 94.49156
2.10, 94.49156
2.15, 94.49156
2.20, 94.49156
2.25, 94.49156
2.30, 94.49156
2.35, 94.49156
2.40, 94.49156
2.45, 94.49156
2.50, 94.49156
2.55, 94.49156
2.60, 94.49156
2.65, 94.49156
2.70, 94.49156
2.75, 94.49156
2.80, 94.49156
2.85, 94.49156
2.90, 94.49156
2.95, 94.49156
3.00, 94.49156
3.05, 100.02096
3.10, 100.02096
3.15, 100.02096
3.20, 100.02096
3.25, 100.02096
3.30, 100.02096
3.35, 100.02096
3.40, 100.02096
3.45, 100.02096
3.50, 100.02096
3.55, 100.02096
3.60, 100.02096
3.65, 100.02096
3.70, 100.02096
3.75, 100.02096
3.80, 100.02096
3.85, 100.02096
3.90, 100.02096
3.95, 100.02096
4.00, 100.02096
4.05, 100.02096
4.10, 100.02096
4.15, 100.02096
4.20, 100.02096
4.25, 100.02096
4.30, 100.02096
4.35, 100.02096
4.40, 100.02096
4.45, 100.02096
4.50, 100.02096
4.55, 100.02096
4.60, 100.02096
4.65, 100.02096
4.70, 100.02096
4.75, 100.02096
4.80, 100.02096
4.85, 100.02096
4.90, 100.02096
4.95, 100.02096
