slope,SoverSup
-150.000000,3309.095473
-950.000000,3405.035863
-250.000000,3356.679563
-300.000000,3364.733359
-450.000000,3371.271043
-900.000000,3408.038499
-1800.000000,166095.788531
-1700.000000,5382.733888
-800.000000,3404.640440
-1950.000000,61193.185248
-750.000000,3392.208885
-1900.000000,89436.193825
-1150.000000,3395.600547
-1450.000000,3385.730980
-1350.000000,3388.267537
-1600.000000,3381.373586
-1250.000000,3405.065101
-1650.000000,3380.439880
-1300.000000,3389.991747
-1400.000000,3387.406120
-850.000000,3396.459929
-2000.000000,9770.340502
-1050.000000,3399.460947
-1850.000000,16850.297387
-1750.000000,4524.009804
-1550.000000,3396.015987
-1200.000000,3394.299053
-500.000000,3380.164329
-600.000000,3392.151040
-650.000000,3389.136823
-400.000000,3372.981565
-1000.000000,3402.891619
-1100.000000,3396.454128
-700.000000,3396.456467
-200.000000,3341.148783
-550.000000,3391.765249
-350.000000,3362.158540
-1500.000000,3384.766037
-1810.000000,46506.820789
-1820.000000,9770.340502
-1995.000000,16850.297387
-1975.000000,89436.193825
-1915.000000,9301.364158
-1925.000000,9770.340502
-1895.000000,36333.453741
-1805.000000,61193.185248
-1935.000000,11179.524228
-1990.000000,8808.109998
-1855.000000,4885.170251
-1865.000000,30596.592624
-1835.000000,61193.185248
-1870.000000,3002.472710
-1860.000000,16850.297387
-1840.000000,30596.592624
-1885.000000,89436.193825
-1825.000000,61193.185248
-1815.000000,3290.778919
-1930.000000,61193.185248
-1945.000000,89436.193825
-1830.000000,3257.010416
-1955.000000,2320.699640
-1970.000000,2654.498903
-1845.000000,166095.788531
-1875.000000,7132.947974
-1080.000000,3394.732352
-1135.000000,3398.173119
-1145.000000,3405.498264
-1130.000000,3393.884913
-1560.000000,3390.448390
-1710.000000,3373.951018
-1565.000000,3394.736530
-1140.000000,3386.546518
-1575.000000,3389.557148
-1365.000000,3387.406339
-1570.000000,3386.541718
-1370.000000,3390.421331
-1590.000000,3388.695480
-1585.000000,3383.957385
-1580.000000,3393.449923
-1085.000000,3399.461655
-1095.000000,3393.009008
-1090.000000,3405.034303
-1705.000000,3384.764664
-1765.000000,3787.200390
-1620.000000,3384.013713
-1760.000000,4322.195241
-1510.000000,3392.120985
-1615.000000,3379.651749
-1515.000000,3396.447174
-1505.000000,3389.525235
-1360.000000,3396.021375
-1770.000000,14178.908777
-1110.000000,3392.191312
-1785.000000,4167.277848
-1625.000000,3388.694322
-1610.000000,3391.253931
-1105.000000,3401.175644
-1775.000000,13212.164997
-1115.000000,3396.022455
-1795.000000,10866.079624
-1125.000000,3403.319380
-1780.000000,16850.297387
-1790.000000,4420.800455
-1120.000000,3384.932220
-1595.000000,3392.119448
-1375.000000,3396.879263
-1605.000000,3385.680910
-1385.000000,3388.267455
-1380.000000,3397.313153
-1660.000000,3389.159396
-1690.000000,3386.927097
-1635.000000,3382.170517
-1670.000000,3383.899591
-1655.000000,3384.870821
-1645.000000,3390.388505
-1680.000000,3390.017426
-1695.000000,3387.831821
-1675.000000,3387.359523
-1405.000000,3390.449606
-1685.000000,3382.601934
-1640.000000,3386.157730
-1480.000000,3396.879306
-1390.000000,3392.165103
-1630.000000,3391.708431
-1460.000000,3393.866029
-1455.000000,3390.389628
-1410.000000,3397.311307
-1395.000000,3395.596746
-1440.000000,3392.120236
-1495.000000,3393.864662
-1420.000000,3388.733542
-1540.000000,3389.126346
-1425.000000,3394.283870
-1545.000000,3391.735454
-1470.000000,3388.227270
-1490.000000,3390.448378
-1465.000000,3398.176541
-1475.000000,3391.735010
-1485.000000,3387.362017
-1430.000000,3396.881381
-1665.000000,3391.708358
-1445.000000,3397.311596
-1415.000000,3386.544306
-1435.000000,3387.361496
-1555.000000,3388.265183
-1525.000000,3390.019766
-1520.000000,3387.446106
-1530.000000,3393.863519
-1535.000000,3386.973196
-1740.000000,3382.233370
-1745.000000,10866.079624
-1720.000000,3383.467437
-1730.000000,3373.821439
-1715.000000,3378.708788
-1735.000000,3380.152336
-1755.000000,3380.581276
-1725.000000,61193.185248
-1155.000000,3399.037652
-1240.000000,3396.882784
-1170.000000,3398.175883
-1210.000000,3402.482404
-1230.000000,3404.666617
-1235.000000,3394.298403
-1165.000000,3393.455414
-1215.000000,3392.145156
-1255.000000,3396.021163
-1220.000000,3395.598325
-1205.000000,3396.885571
-1185.000000,3395.599493
-1190.000000,3399.898011
-1175.000000,3402.052194
-1160.000000,3390.453406
-1180.000000,3391.715396
-1225.000000,3399.036909
-1245.000000,3402.936549
-1195.000000,3389.560865
-1275.000000,3383.469091
-1315.000000,3387.794577
-1335.000000,3389.560564
-1270.000000,3394.728657
-1340.000000,3395.580491
-1345.000000,3398.174907
-1310.000000,3399.907803
-1285.000000,3406.829401
-1305.000000,3395.148815
-1330.000000,3386.497134
-1260.000000,3399.036381
-1325.000000,3398.176630
-1290.000000,3396.446555
-1265.000000,3405.099664
-1280.000000,3388.269049
-1355.000000,3392.574797
-1320.000000,3392.575317
-1295.000000,3386.063686
-1065.000000,3397.745964
-1060.000000,3392.599949
-1055.000000,3403.319265
-1070.000000,3401.175548
-1075.000000,3405.463418
-1035.000000,3401.605025
-1040.000000,3390.027430
-1030.000000,3398.174532
-1045.000000,3394.745339
-1005.000000,3391.337666
-975.000000,3411.100015
-955.000000,3395.181249
-980.000000,3400.304129
-970.000000,3406.794138
-1010.000000,3409.808387
-1025.000000,3392.173342
-965.000000,3401.605113
-960.000000,3412.821701
-910.000000,3402.033965
-935.000000,3392.620288
-945.000000,3399.889905
-995.000000,3397.746010
-1015.000000,3400.747303
-1020.000000,3390.056303
-985.000000,3403.348289
-890.000000,3399.460225
-905.000000,3410.237005
-920.000000,3408.514898
-990.000000,3408.947532
-925.000000,3398.603051
-915.000000,3391.765877
-895.000000,3396.456577
-930.000000,3397.748847
-940.000000,3411.530091
-870.000000,3398.168235
-845.000000,3405.464401
-875.000000,3401.176309
-855.000000,3402.865305
-865.000000,3408.038484
-880.000000,3406.323630
-860.000000,3404.607954
-885.000000,3405.499945
-725.000000,3400.761612
-735.000000,3407.986316
-730.000000,3400.301582
-795.000000,3407.606654
-745.000000,3402.915414
-825.000000,3402.034692
-830.000000,3394.325047
-840.000000,3406.279080
-820.000000,3404.144624
-810.000000,3396.457676
-760.000000,3399.903324
-755.000000,3399.030168
-835.000000,3405.931678
-790.000000,3400.318132
-805.000000,3397.318042
-785.000000,3406.704715
-765.000000,3405.930211
-770.000000,3395.172176
-740.000000,3402.889936
-775.000000,3403.747357
-815.000000,3402.055483
-780.000000,3402.056473
-715.000000,3403.289219
-610.000000,3396.029045
-630.000000,3385.691657
-615.000000,3389.997901
-605.000000,3397.313980
-625.000000,3391.740975
-620.000000,3396.888500
-655.000000,3400.332464
-705.000000,3389.625037
-580.000000,3386.554474
-645.000000,3395.169527
-710.000000,3402.053679
-675.000000,3402.913627
-635.000000,3393.443171
-660.000000,3399.445363
-690.000000,3392.187870
-575.000000,3393.028188
-595.000000,3384.832614
-590.000000,3388.311155
-570.000000,3383.165572
-665.000000,3386.983470
-680.000000,3394.312825
-695.000000,3399.018551
-640.000000,3402.484765
-585.000000,3381.020626
-670.000000,3397.749117
-720.000000,3398.600182
-685.000000,3387.490500
-105.000000,3229.652754
-115.000000,3256.154743
-110.000000,3243.990979
-120.000000,3262.670321
-125.000000,3273.964258
-130.000000,3264.548922
-135.000000,3276.225970
-325.000000,3351.867645
-330.000000,3359.156460
-340.000000,3372.881261
-335.000000,3363.874782
-265.000000,3350.381531
-270.000000,3358.565345
-375.000000,3375.451511
-275.000000,3367.609333
-145.000000,3300.446196
-280.000000,3360.758616
-390.000000,3358.559582
-380.000000,3368.467043
-385.000000,3375.970142
-140.000000,3290.931604
-345.000000,3366.579060
-355.000000,3369.448658
-475.000000,3383.656101
-470.000000,3375.112888
-530.000000,3386.642007
-565.000000,3387.921480
-560.000000,3383.540241
-370.000000,3364.730822
-555.000000,3387.027110
-360.000000,3378.026025
-535.000000,3384.025700
-365.000000,3371.274952
-545.000000,3381.516790
-525.000000,3377.676069
-540.000000,3377.507694
-510.000000,3381.946239
-520.000000,3387.455371
-480.000000,3375.446301
-485.000000,3371.270312
-490.000000,3378.957532
-515.000000,3377.162279
-495.000000,3387.071883
-505.000000,3377.248286
-465.000000,3367.426911
-455.000000,3378.530123
-405.000000,3367.981319
-435.000000,3374.687393
-460.000000,3372.445795
-425.000000,3373.304797
-420.000000,3363.729260
-395.000000,3378.881692
-415.000000,3369.137889
-440.000000,3380.666713
-430.000000,3365.720267
-410.000000,3362.306012
-155.000000,3307.752806
-445.000000,3377.163207
-205.000000,3338.327791
-245.000000,3347.368178
-260.000000,3344.351649
-165.000000,3325.411123
-160.000000,3317.659117
-180.000000,3335.578304
-210.000000,3345.251991
-215.000000,3352.966335
-195.000000,3348.222693
-255.000000,3362.009530
-235.000000,3358.042587
-230.000000,3349.952707
-185.000000,3343.293056
-225.000000,3343.979455
-170.000000,3335.744534
-190.000000,3351.013256
-240.000000,3340.048428
-175.000000,3329.425481
-220.000000,3334.450618
-285.000000,3353.827958
-290.000000,3350.154365
-295.000000,3371.054743
-305.000000,3358.039806
-310.000000,3353.584653
-315.000000,3360.873721
-320.000000,3369.450346
-1940.000000,2577.983414
-1920.000000,30596.592624
-1965.000000,13212.164997
-1905.000000,6184.417658
-1980.000000,89436.193825
-1890.000000,7132.947974
-1910.000000,4524.009804
-1880.000000,72666.907482
