time,amplitude
-80.2764, -4.26113e-05
-79.9639, -0.000277175
-79.6514, -0.000392215
-79.3389, -0.000364509
-79.0264, -4.78141e-05
-78.7139, 0.000404562
-78.4014, 0.000484207
-78.0889, 0.000521674
-77.7764, 0.000537883
-77.4639, 0.000385198
-77.1514, -7.45817e-05
-76.8389, -7.0976e-05
-76.5264, 0.000268733
-76.2139, 7.04871e-05
-75.9014, -0.000256895
-75.5889, -0.000527922
-75.2764, -0.000727537
-74.9639, -0.000717332
-74.6514, -0.000604026
-74.3389, -0.000378446
-74.0264, 0.000116858
-73.7139, 0.000725854
-73.4014, 0.00030925
-73.0889, -3.29972e-05
-72.7764, 0.000475038
-72.4639, 0.000750841
-72.1514, 0.000644189
-71.8389, 0.000605877
-71.5264, 0.000612635
-71.2139, 0.000134815
-70.9014, -0.000439432
-70.5889, -0.000928373
-70.2764, -0.00109791
-69.9639, -0.000433375
-69.6514, -0.000349379
-69.3389, -0.000842038
-69.0264, -0.000585259
-68.7139, -4.62809e-05
-68.4014, -0.000116437
-68.0889, -4.37328e-05
-67.7764, 0.000844001
-67.4639, 0.00140558
-67.1514, 0.00147952
-66.8389, 0.0010328
-66.5264, 0.000274442
-66.2139, 0.000419158
-65.9014, 0.000633912
-65.5889, -0.000246268
-65.2764, -0.00077823
-64.9639, -0.000497225
-64.6514, -0.000927061
-64.3389, -0.00200092
-64.0264, -0.00188938
-63.7139, -0.00138151
-63.4014, -0.000721261
-63.0889, -0.000186295
-62.7764, -0.000171903
-62.4639, 0.000285896
-62.1514, 0.00134665
-61.8389, 0.00146011
-61.5264, 0.00106018
-61.2139, 0.00206229
-60.9014, 0.00304058
-60.5889, 0.00192945
-60.2764, 0.00105299
-59.9639, 0.000668744
-59.6514, 0.000166995
-59.3389, -0.000431813
-59.0264, -0.00143232
-58.7139, -0.00255119
-58.4014, -0.00227491
-58.0889, -0.0023102
-57.7764, -0.0034514
-57.4639, -0.00331772
-57.1514, -0.00160513
-56.8389, -0.000969593
-56.5264, -0.000860935
-56.2139, 0.000407796
-55.9014, 0.00176423
-55.5889, 0.00278274
-55.2764, 0.00347932
-54.9639, 0.00356691
-54.6514, 0.00398499
-54.3389, 0.00465177
-54.0264, 0.00303095
-53.7139, 0.000865056
-53.4014, 0.000808973
-53.0889, 0.00020467
-52.7764, -0.00208963
-52.4639, -0.00366088
-52.1514, -0.00441584
-51.8389, -0.00489308
-51.5264, -0.00524816
-51.2139, -0.00485991
-50.9014, -0.0040951
-50.5889, -0.00148043
-50.2764, 0.000232473
-49.9639, 0.000402101
-49.6514, 0.00204499
-49.3389, 0.00469659
-49.0264, 0.00505602
-48.7139, 0.00492584
-48.4014, 0.00521992
-48.0889, 0.00496003
-47.7764, 0.00318635
-47.4639, 0.00120497
-47.1514, -0.000990269
-46.8389, -0.0015258
-46.5264, -0.00140773
-46.2139, -0.00337664
