Name ,  RA , Decl , ERR , T100 , T90 , UTT(Trigger) , UTPrecSec , T1 , T2 , Tfluence , Alpha , Beta , Epeak , Fluence , emin, emax,  z , f , epsilon1 , epsilon2 , AlphaNu , BetaNu , GammaNu ,A2Alt, A2Az,A3Alt, A3Az
140113A,75.63,3.18,9.99,68.87,68.87,1/13/14 4:23,0.474,-5.89,62.98,68.87,1.05,2.25,205,2.65E-06,0.008,1,2.15,1.66E-15,0.74,3.17,0.75,1.95,3.95,-3.008514,6.96592,-3.020789,345.352313
130929B,200.93,2.8,19.67,2.3,2.3,9/29/13 9:00,0.006,-2.24,0.06,2.3,1.05,2.25,205,3.23E-07,0.008,1,2.15,2.02E-16,0.74,3.17,0.75,1.95,3.95,-2.915404,167.459902,-2.880814,145.839583
150412A,186.79,2.91,17.59,0.58,0.58,4/12/15 12:10,0.742,-0.13,0.45,0.58,1.05,2.25,205,1.30E-07,0.008,1,0.5,2.00E-17,2.1,3.26,0.75,2.75,4.75,-2.811497,273.675697,-2.879606,252.057653
160314C,161.99,2.83,19.99,1.66,1.66,3/14/16 11:21,0.488,-0.7,0.96,1.66,1.05,2.25,205,1.32E-07,0.008,1,0.5,2.04E-17,2.1,3.26,0.75,2.75,4.75,-2.679639,289.05273,-2.749609,267.435608
141206A,320.56,2.42,9.29,4.61,4.61,12/6/14 6:05,0.71,-1.28,3.33,4.61,1.05,2.25,205,5.37E-07,0.008,1,2.15,3.36E-16,0.74,3.17,0.75,1.95,3.95,-2.506843,264.044806,-2.571279,242.426354
140331A,134.864,2.717,0.0003,233.86,209,3/31/14 5:49,0,87.28,321.14,233.86,2.01,3.01,200,6.70E-07,0.015,0.15,2.15,4.35E-16,0.35,3.17,-0.01,0.99,2.99,-2.49476,328.780812,-2.54702,307.165625
160301A,114.4,2.29,3.48,29.69,29.69,3/1/16 5:10,0.519,0.26,29.95,29.69,1.05,2.25,205,5.94E-06,0.008,1,2.15,3.72E-15,0.74,3.17,0.75,1.95,3.95,-2.063633,347.302465,-2.098387,325.687436
140906C,314.961,1.939,0.1703,0.128,0.16,9/6/14 23:51,0.815,0,0.128,0,1,2,1000,1.00E-05,0.01,10,0.5,4.76E-15,0.31,2.1,1,2,4,-1.97174,81.061948,-1.908816,59.445751
130404A,30.75,1.54,7.24,3.33,3.33,4/4/13 10:15,0.052,-1.54,1.79,3.33,1.05,2.25,205,8.43E-07,0.008,1,2.15,5.27E-16,0.74,3.17,0.75,1.95,3.95,-1.771675,153.806295,-1.723695,132.187502
160215A,356.79,1.73,3.44,141.32,141.32,2/15/16 18:33,0.387,54.27,195.59,141.32,1.05,2.25,205,5.04E-05,0.008,1,2.15,3.15E-14,0.74,3.17,0.75,1.95,3.95,-1.679484,43.109633,-1.648743,21.494224
141230A,56.98,1.59,3.86,9.86,9.86,12/30/14 3:24,0.637,0,9.86,5.1,1.51,3.51,75,1.20E-06,0.01,1,2.15,5.64E-16,0.63,3.17,-0.51,1.49,3.49,-1.452256,17.292873,-1.451977,355.677411
130913A,341.96,1.294,0.0507,10,10,9/13/13 0:28,0,-2,8,10,0.9,1.9,200,1.30E-07,0.015,0.15,2.15,1.48E-15,0.35,3.17,1.1,2.1,4.1,-1.379049,92.585283,-1.311261,70.968457
140102A,211.919,1.333,0.0003,132.22,10.496,1/2/14 21:17,0.245,0,132.22,10.496,1.05,2.68,185,2.00E-05,0.02,10,2.15,1.37E-14,0.6,3.17,0.32,1.95,3.95,-1.29953,259.97536,-1.361861,238.357382
150806A,106.85,1.01,2.8,85.25,85.25,8/6/15 8:21,0.96,-1.28,83.97,85.25,1.05,2.25,205,6.69E-06,0.008,1,2.15,4.19E-15,0.74,3.17,0.75,1.95,3.95,-1.121694,136.767208,-1.06088,115.149309
140906B,185.84,0.98,1.6,20.74,20.74,9/6/14 10:18,0.364,1.02,21.76,23,1.4,3.4,330,9.91E-06,0.01,1,2.15,1.35E-14,0.21,3.17,-0.4,1.6,3.6,-1.073175,155.786732,-1.026985,134.16853
150822A,144.46,0.85,5.4,13.31,13.31,8/22/15 4:16,0.524,-0.51,12.8,13.31,1.05,2.25,205,2.58E-06,0.008,1,2.15,1.61E-15,0.74,3.17,0.75,1.95,3.95,-0.924277,220.170287,-0.95175,198.551995
150426B,283.52,0.65,3.25,61.7,61.7,4/26/15 22:59,0.683,-45.57,16.13,61.7,1.05,2.25,205,6.18E-06,0.008,1,2.15,3.87E-15,0.74,3.17,0.75,1.95,3.95,-0.854589,194.009735,-0.850856,172.391457
150906A,212.04,1.09,5.19,0.32,0.32,9/6/15 22:38,0.307,-0.26,0.06,0.128,0.6,2.6,597,4.94E-07,0.01,1,0.5,4.13E-16,0.52,2.1,0.4,2.4,4.4,-0.830368,356.543429,-0.854911,334.927156
140311A,209.305,0.642,0.0003,88.192,71.4,3/11/14 21:05,0,-4.456,83.736,88.192,1.67,2.67,200,2.30E-06,0.015,0.15,4.95,2.33E-14,0.1,1.68,0.33,1.33,3.33,-0.75535,193.43479,-0.750916,171.816635
130725A,230.06,0.624,0.0253,113.23,101.8,7/25/13 11:37,0,-9.83,103.4,113.23,1.6,2.6,200,9.70E-07,0.015,0.15,2.15,1.45E-15,0.35,3.17,0.4,1.4,3.4,-0.71766,222.302221,-0.74751,200.684173
160224A,319.87,0.75,9.41,0.38,0.38,2/24/16 21:51,0.871,-0.06,0.32,0.38,1.05,2.25,205,1.21E-07,0.008,1,0.5,1.86E-17,2.1,3.26,0.75,2.75,4.75,-0.702285,307.72164,-0.767796,286.104719
150106A,40.83,0.31,13.14,79.88,79.88,1/6/15 22:05,0.248,-2.82,77.06,79.88,1.05,2.25,205,1.02E-06,0.008,1,2.15,6.35E-16,0.74,3.17,0.75,1.95,3.95,-0.316078,73.081172,-0.258025,51.464131
130324A,255.43,0.05,6.03,37.76,37.76,3/24/13 1:00,0.747,-6.27,31.49,37.76,1.05,2.25,205,1.90E-06,0.008,1,2.15,1.19E-15,0.74,3.17,0.75,1.95,3.95,-0.216136,168.532505,-0.182694,146.915054
130903A,82.133,-0.125,0.0152,77.54,70,9/3/13 0:47,0,0,77.54,70,0.7,2.7,41,2.00E-06,0.01,1,2.15,3.91E-16,1.72,3.17,0.3,2.3,4.3,-0.066222,197.854149,-0.067185,176.23683
160127A,225.982,0.073,0.0003,7.14,6.16,1/27/16 8:43,0,-1.44,5.7,7.14,0.99,2.99,25.6,3.30E-07,0.015,0.15,2.15,4.66E-17,2.75,3.17,0.01,2.01,4.01,0.024592,79.035421,0.086392,57.418152
130502A,138.569,-0.123,0.0003,3.71,3.33,5/2/13 17:50,0.741,-0.51,3.2,3.264,1,3,83,5.00E-07,0.01,1,2.15,2.40E-16,0.85,3.17,0,2,4,0.087778,120.015798,0.15601,98.398594
141028A,322.7,-0.28,0.4,31.48,31.48,10/28/14 10:54,0.783,6.66,38.14,31.7,0.71,1.93,249.9,3.48E-05,0.01,1,1.82,1.91E-14,1.01,3.54,1.07,2.29,4.29,0.094424,232.194144,0.054139,210.576981
130708A,17.474,0.003,0.0162,15.08,-,7/8/13 11:43,0,0,15.08,0,0.9,2.9,158,2.30E-06,0.01,1,2.15,2.86E-15,0.45,3.17,0.1,2.1,4.1,0.095693,24.99809,0.105355,3.380731
150608A,13.389,-0.213,0.0608,5.586,-,6/8/15 11:45,0,0,5.586,5.586,1.56,3.56,209,2.40E-05,0.02,10,2.15,1.90E-14,0.34,3.17,-0.56,1.44,3.44,0.251302,50.392422,0.289768,28.774909
150613A,106.13,-0.46,5.96,27.4,27.4,6/13/15 10:04,0.008,-4.1,23.3,27.4,1.05,2.25,205,2.61E-06,0.008,1,2.15,1.63E-15,0.74,3.17,0.75,1.95,3.95,0.305283,163.521084,0.34397,141.904177
