Energy Flux
110443459017065.45 4.29226e-10
129115981213767.31 5.356789999999999e-10
149382595166631.2 6.635310000000001e-10
171036972283104.6 8.300199999999999e-10
197883689911261.47 1.03458e-09
231344937332908.12 1.29625e-09
273287646123625.34 1.62993e-09
329632481596169.9 2.0184499999999998e-09
401753806251828.06 2.53444e-09
494788959030645.06 3.1485200000000002e-09
622185663777704.1 3.808329999999999e-09
782384071319841.4 4.60641e-09
983829860910636.1 5.36272e-09
1237171765335557.5 6.00356e-09
1555714859786640.5 6.88195e-09
1956275428177528.2 7.63451e-09
2500172649923037.5 8.252040000000001e-09
2816631292854456.0 8.613209999999998e-09
3971732585437903.0 9.49872e-09
4994361797925984.0 9.7617e-09
6280294363229972.0 9.904920000000001e-09
7897324800377381.0 9.86892e-09
9930703147898250.0 9.60305e-09
1.2487916897680518e+16 9.23441e-09
1.5703266458100032e+16 8.56239e-09
1.9746494109028796e+16 7.845880000000001e-09
2.483075929701104e+16 7.156670000000001e-09
3.1224105092365948e+16 6.6418999999999996e-09
3.926358945199362e+16 6.30605e-09
4.9374191824968184e+16 6.22053e-09
6.2086903423006376e+16 6.739350000000001e-09
7.80728440137907e+16 7.83874e-09
9.715832074866414e+16 9.549e-09
1.1718985043916341e+17 1.1718999999999999e-08
1.3988785149584934e+17 1.45545e-08
1.6872910388665728e+17 1.8324e-08
2.0351667563669107e+17 2.2967299999999996e-08
2.4547654380973363e+17 2.8500400000000002e-08
3.02315211508843e+17 3.5524300000000004e-08
3.801543811956326e+17 4.42793e-08
4.669710960271986e+17 5.22998e-08
6.0113221130697e+17 6.25227e-08
7.55909842133365e+17 7.089180000000001e-08
9.505391304714157e+17 7.729549999999999e-08
1.1952809557385682e+18 8.260660000000001e-08
1.4546549863700938e+18 8.63636e-08
1.8900356676388398e+18 8.67688e-08
2.376730831604944e+18 8.6611e-08
2.988684009805221e+18 8.64535e-08
3.7582009673487836e+18 8.489369999999999e-08
4.725850730503251e+18 8.21567e-08
5.942647910804319e+18 7.95079e-08
7.472742201492771e+18 7.645580000000001e-08
9.396800357033566e+18 7.29873e-08
1.181680312544783e+19 6.9423e-08
1.485935642287009e+19 6.54939e-08
1.8685296772558512e+19 6.122730000000001e-08
2.34963282084831e+19 5.64623e-08
2.9546088884793352e+19 5.11288e-08
3.7153522909717275e+19 4.571280000000001e-08
5.874893525297768e+19 3.43165e-08
7.38754262993635e+19 2.85524e-08
9.193904748039807e+19 2.3281200000000003e-08
1.1204693988178082e+20 1.88828e-08
1.3375191229856088e+20 1.52041e-08
1.580156128997187e+20 1.21675e-08
1.847140794909607e+20 9.56814e-09
2.114949490707636e+20 7.63798e-09
2.396624529408638e+20 6.03644e-09
2.68720005671711e+20 4.79466e-09
2.982634245778774e+20 3.78551e-09
3.309786650728407e+20 2.97682e-09
3.634963045460808e+20 2.37275e-09
3.992087024388083e+20 1.87804e-09
4.384297339745668e+20 1.47094e-09
4.765407017251344e+20 1.1567000000000002e-09
5.179645056050328e+20 9.07324e-10
5.628594992827307e+20 6.923789999999999e-10
6.054802756898621e+20 5.45832e-10
6.444659847416891e+20 4.4527900000000003e-10
6.861198752817047e+20 3.5132499999999997e-10
7.302978128733656e+20 2.7079400000000004e-10
7.77499288015975e+20 2.08723e-10
8.275609700353532e+20 1.5980899999999998e-10
8.808460273622606e+20 1.18341e-10
9.183325964835792e+20 9.94845e-11
