index,Energy,Veff,Err,Nthrown,Npassed,weight_thrown
2,1e+16,0.070368,0.011352,2400000,36.56297,1378348.0
0,3.162278e+16,0.351445,0.029647000000000003,2400000,134.162,1320086.0
1,1e+17,1.9913150000000002,0.080711,2420000,586.857,1293541.0
3,3.162278e+17,7.128707,0.18198499999999998,2420000,1489.8270000000002,1269736.0
4,1e+18,22.100851000000002,0.372207,2420000,3445.053,1252005.0
7,3.162278e+18,51.450651,0.64584,2420000,6210.736999999999,1231774.0
8,1e+19,102.395501,1.019283,2420000,9853.649,1233162.0
9,3.162278e+19,170.758259,1.501183,2420000,12580.97,1209832.0
10,1e+20,259.876954,2.0758509999999997,2420000,15128.47,1202689.0
6,3.162278e+20,356.72558100000003,3.4520519999999997,1620000,10213.34,810075.2
5,1e+21,466.674609,4.4877839999999996,1620000,10229.72,798295.4
