energy,no_veff,with_veff,relative_difference,no_correction,with_correction
16,0.01126,0.01071,-0.049,105.43547,100.31999
16.5,0.08548,0.0821,-0.040,353.51647,339.51573
17,0.44755,0.43384,-0.031,236.17637,228.94409
17.5,1.69115,1.64004,-0.030,632.86483,613.73866
18,4.97937,4.83132,-0.030,1375.94577,1335.035
18.5,11.49207,11.21889,-0.024,2484.00494,2424.95703
19,23.88926,23.39179,-0.021,4116.45223,4030.73032
19.5,40.99953,40.29765,-0.017,5408.95177,5316.35474
20,60.13672,59.20208,-0.016,6268.62087,6171.19457
20.5,82.18837,81.14642,-0.013,6231.37955,6152.38052
21,107.96821,106.7652,-0.011,6330.6654,6260.12792
